school,age,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
0,16,0,2,2,2,2,1,0,1,1,1,0,1,0,5,3,4,1,1,5,12,13,11
1,17,0,2,2,0,2,0,0,2,2,0,0,1,1,4,3,5,1,2,4,0,11,10
0,19,1,2,1,0,3,0,0,2,3,1,1,1,1,4,3,1,1,1,5,0,9,10
0,20,0,1,0,2,2,2,0,2,1,1,0,1,1,5,3,1,1,1,5,5,8,10
0,19,0,3,3,2,3,1,2,1,2,0,1,1,1,4,3,5,3,3,5,16,11,12
0,18,0,2,1,2,2,1,0,1,2,0,0,1,1,4,2,5,1,2,1,8,14,14
1,16,0,1,2,2,3,0,0,1,3,1,0,1,0,1,3,2,1,2,4,0,10,8
1,16,1,1,1,0,2,0,0,2,1,0,1,1,1,4,5,5,2,4,5,0,10,10
1,17,0,3,3,3,3,1,0,1,1,0,1,1,1,4,1,4,5,5,3,8,7,10
0,18,1,4,4,4,4,1,0,1,1,0,0,1,1,1,4,2,2,2,1,0,18,18
0,17,0,3,3,1,2,2,0,1,2,0,0,1,1,3,3,3,1,3,3,10,12,13
0,16,0,4,3,3,2,2,0,2,1,0,1,1,1,3,3,3,1,1,4,6,9,11
0,16,1,4,4,1,1,3,0,1,3,0,1,1,1,5,4,5,1,1,4,2,15,15
0,17,0,3,4,0,2,0,0,3,2,0,0,1,0,5,4,5,2,4,5,2,10,9
0,17,0,2,1,2,2,0,0,1,1,0,0,1,1,4,4,2,2,4,5,0,12,12
0,17,0,3,3,3,2,1,0,2,3,0,0,1,1,4,2,2,2,3,5,10,11,11
1,15,0,3,3,3,2,2,0,1,2,0,0,1,1,4,5,4,1,1,1,4,13,12
0,15,0,4,4,3,0,0,0,1,3,0,1,1,1,4,3,3,1,1,5,4,13,14
1,18,0,1,1,2,2,1,0,2,1,1,1,0,1,4,4,3,3,4,4,0,8,9
1,17,0,4,2,2,2,0,0,2,2,0,0,1,1,4,3,3,1,2,4,0,17,18
0,16,0,2,3,3,3,0,0,1,2,0,0,1,1,4,3,3,1,1,2,6,12,12
0,18,0,3,2,2,3,1,0,2,2,0,0,0,1,4,1,1,1,1,5,15,12,9
0,18,1,3,3,3,1,1,1,1,2,0,0,1,1,3,2,4,2,4,4,10,10,10
0,15,0,4,4,3,4,0,1,1,2,0,1,1,1,4,3,3,1,1,5,0,14,15
1,15,0,2,2,1,2,2,0,3,1,0,0,1,0,4,3,3,1,2,4,1,13,12
0,17,0,4,2,2,2,2,0,2,3,0,0,1,1,4,3,3,1,1,3,0,16,16
0,17,1,2,2,2,2,1,1,1,2,0,1,1,1,4,4,2,5,5,4,0,16,16
1,15,0,1,1,0,0,0,1,3,2,0,0,1,0,4,2,1,1,2,2,0,13,14
0,15,0,3,4,0,4,0,0,4,2,0,0,1,0,5,3,3,1,1,5,2,12,11
0,15,0,3,3,3,3,1,0,1,2,0,0,1,0,1,3,2,2,3,1,24,9,8
0,17,1,3,3,3,2,1,0,1,2,0,0,1,1,5,3,3,1,1,5,0,12,12
0,18,0,1,4,2,4,1,0,1,2,0,0,1,0,3,4,4,1,2,5,2,10,10
0,19,0,3,2,3,0,1,0,1,1,0,0,0,1,4,5,4,1,1,4,6,11,9
0,17,0,3,4,0,3,0,1,1,3,0,1,1,1,4,3,4,2,5,5,2,15,15
0,18,1,4,3,1,3,0,0,2,1,0,0,1,1,3,2,4,1,4,1,8,12,12
0,15,0,4,3,3,2,2,0,1,1,0,1,1,1,4,5,5,1,3,1,6,14,13
0,18,0,4,4,2,2,0,0,1,3,0,1,1,1,4,3,3,2,2,3,0,13,14
0,16,0,3,1,3,2,0,0,1,2,0,0,1,1,2,3,3,2,2,4,2,11,11
0,15,0,4,2,4,2,1,0,1,2,0,0,1,0,4,3,3,2,2,5,4,11,12
0,17,0,1,1,0,2,0,1,1,2,0,0,1,1,5,3,3,1,1,3,2,9,11
0,17,0,3,3,2,2,2,1,1,2,0,1,1,1,4,3,4,1,4,4,4,11,9
0,16,0,3,3,2,3,1,1,2,1,0,1,1,1,5,4,2,1,1,5,6,14,14
0,17,1,2,3,3,3,2,1,1,2,0,0,1,1,5,3,3,1,3,3,0,10,11
0,17,0,2,2,0,0,0,0,1,3,0,1,1,1,4,3,3,1,1,4,0,12,12
0,17,0,1,1,0,3,0,0,1,2,0,1,1,1,5,3,3,1,1,3,0,12,11
1,20,0,3,3,0,3,3,0,2,2,1,1,1,1,3,3,4,2,4,3,8,11,9
0,18,0,2,1,3,3,3,0,1,1,2,0,0,1,3,2,5,2,5,5,4,7,8
0,16,0,4,2,4,3,3,0,1,1,0,1,1,1,4,3,3,3,4,3,8,10,9
1,16,0,3,3,2,2,2,0,1,1,0,1,0,1,4,5,4,1,1,4,0,14,13
0,16,0,2,1,2,2,0,0,3,1,0,0,1,1,4,3,3,1,1,4,7,15,16
0,16,0,4,4,1,2,1,0,1,1,0,0,1,1,4,4,4,1,2,2,6,17,17
1,16,1,1,2,0,2,0,0,1,2,0,1,0,1,4,4,5,1,3,3,0,8,9
1,16,0,3,4,2,1,3,0,3,2,0,0,1,0,3,4,5,1,2,5,4,9,10
0,15,1,1,1,0,2,3,0,1,2,0,0,1,1,4,3,2,2,3,3,6,12,13
0,18,1,1,1,2,0,1,0,1,3,0,0,1,0,4,4,3,2,3,3,4,11,12
0,15,0,4,4,4,4,0,0,2,1,0,1,1,1,4,3,2,1,1,5,6,13,14
1,18,0,3,3,0,0,0,0,1,2,2,1,0,1,4,4,5,1,3,3,9,4,8
0,18,0,2,2,2,2,1,0,1,2,0,0,1,0,3,2,3,1,1,5,4,11,11
1,18,0,2,2,3,2,1,0,2,3,0,0,1,1,4,2,1,1,1,4,5,14,14
0,16,1,1,2,2,3,2,1,1,2,0,1,1,1,4,4,3,1,1,1,0,13,13
1,17,0,2,3,2,3,1,1,2,2,0,1,1,1,4,4,3,1,1,3,4,14,15
0,17,1,3,2,4,3,1,0,1,1,0,0,1,1,4,4,4,3,4,3,18,13,13
1,16,0,1,1,0,2,0,1,2,2,3,0,1,0,3,4,3,1,1,1,0,7,7
